,Source,Target,Type,Id,Label,timeset,Weight,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,date,link,tweet,before/after,target,source
26,UniNoticias,IvanTaylorTV,Directed,27,,,1,1225,1225,1225,2017-09-16,"('UniNoticias', 'IvanTaylorTV')",rt @ivantaylortv: @univision23 recolecta ayuda para los #damnificados por #irma en los #cayosdelaflorida y #homestead https://t.co/sfjueiku…,,IvanTaylorTV,UniNoticias
27,UniNoticias,Univision23,Directed,28,,,1,1226,1226,1226,2017-09-16,"('UniNoticias', 'Univision23')",rt @ivantaylortv: @univision23 recolecta ayuda para los #damnificados por #irma en los #cayosdelaflorida y #homestead https://t.co/sfjueiku…,,Univision23,UniNoticias
28,AlbertJerriel,carelis_vega,Directed,29,,,1,1443,1443,1443,2017-09-16,"('AlbertJerriel', 'carelis_vega')","rt @carelis_vega: 🚨🚨🚨heyyyyyy we need blood pa mi abu. o+, hospital hima en caguas para ana m. vega soto. el horario es de 8am a 5pm en el…",,carelis_vega,AlbertJerriel
29,floralba1965,FBuenAbad,Directed,30,,,1,1539,1539,1539,2017-09-16,"('floralba1965', 'FBuenAbad')",rt @fbuenabad: hay una familia desesperada que clama por ayuda mundial. hay un pueblo que exige. no permitas que nos gane el silen…,,FBuenAbad,floralba1965
30,EsperanzaDePR,ricardorossello,Directed,31,,,3,27807,99,99,2017-09-25,"('EsperanzaDePR', 'ricardorossello')",rt @ricardorossello: las comunidades ya comienzan a recibir los suministros. la ayuda continúa llegando. #prselevanta https://t.co/0tpmqxfe…,,ricardorossello,EsperanzaDePR
31,EsperanzaDePR,mari_nia_t,Directed,32,,,1,1703,1703,1703,2017-09-16,"('EsperanzaDePR', 'mari_nia_t')",rt @mari_nia_t: a mis papas todavía no les ha llegado la luz y les están hablando de maría. septiembre 2017 es el mes que los llevará a la…,,mari_nia_t,EsperanzaDePR
32,ThaysMejia,ONU_es,Directed,33,,,1,1828,1828,1828,2017-09-16,"('ThaysMejia', 'ONU_es')",rt @onu_es: pequeñas cosas que todos podemos hacer para salvar los océanos: no consumir agua en botellas descartables. mira las…,,ONU_es,ThaysMejia
33,AnalizMateo,mrjohelpadilla,Directed,34,,,5,74146,1193,1191,2017-10-11,"('AnalizMateo', 'mrjohelpadilla')",rt @mrjohelpadilla: @jelguera @regcoral o ir por la via rural.... bayamón rural a guaynabo via aguas buenas... 😥,,mrjohelpadilla,AnalizMateo
34,floralba1965,silviamcordova,Directed,35,,,1,1989,1989,1989,2017-09-16,"('floralba1965', 'silviamcordova')","rt @silviamcordova: @black_dog301 @dantelo70 @axea65 de todas formas, el terreno de la nueva refinería no es baldío, está preparado com…",,silviamcordova,floralba1965
35,floralba1965,black_dog301,Directed,36,,,1,1990,1990,1990,2017-09-16,"('floralba1965', 'black_dog301')","rt @silviamcordova: @black_dog301 @dantelo70 @axea65 de todas formas, el terreno de la nueva refinería no es baldío, está preparado com…",,black_dog301,floralba1965
36,floralba1965,Dantelo70,Directed,37,,,1,1991,1991,1991,2017-09-16,"('floralba1965', 'Dantelo70')","rt @silviamcordova: @black_dog301 @dantelo70 @axea65 de todas formas, el terreno de la nueva refinería no es baldío, está preparado com…",,Dantelo70,floralba1965
37,floralba1965,AXEA65,Directed,38,,,1,1992,1992,1992,2017-09-16,"('floralba1965', 'AXEA65')","rt @silviamcordova: @black_dog301 @dantelo70 @axea65 de todas formas, el terreno de la nueva refinería no es baldío, está preparado com…",,AXEA65,floralba1965
38,GladysBecerra1,claudioabel2,Directed,40,,,1,2157,2157,2157,2017-09-16,"('GladysBecerra1', 'claudioabel2')","rt @claudioabel2: @aniabello_r un camarada muy extraño ! le gusta mas la plata y el poder que la comida, a pesar de ser un bojote !",,claudioabel2,GladysBecerra1
39,GladysBecerra1,ANIABELLO_R,Directed,41,,,1,2158,2158,2158,2017-09-16,"('GladysBecerra1', 'ANIABELLO_R')","rt @claudioabel2: @aniabello_r un camarada muy extraño ! le gusta mas la plata y el poder que la comida, a pesar de ser un bojote !",,ANIABELLO_R,GladysBecerra1
40,HENRYFOREROJ,Liluparra,Directed,42,,,1,2168,2168,2168,2017-09-16,"('HENRYFOREROJ', 'Liluparra')",rt @liluparra: gracias @electricaribesa por lucirte quitándonos la luz en este sábado que ya de por sí era bien caluroso 😡,,Liluparra,HENRYFOREROJ
41,HENRYFOREROJ,ElectricaribeSA,Directed,43,,,1,2169,2169,2169,2017-09-16,"('HENRYFOREROJ', 'ElectricaribeSA')",rt @liluparra: gracias @electricaribesa por lucirte quitándonos la luz en este sábado que ya de por sí era bien caluroso 😡,,ElectricaribeSA,HENRYFOREROJ
42,LimonActivo,ramerzamer,Directed,45,,,1,2254,2254,2254,2017-09-16,"('LimonActivo', 'ramerzamer')",rt @ramerzamer: @julioborges especulacion y extorsion por parte de militares y pranes por un puesto en los supermercados para adqui…,,ramerzamer,LimonActivo
43,1Fashionisima,mrjohelpadilla,Directed,46,,,1,2314,2314,2314,2017-09-16,"('1Fashionisima', 'mrjohelpadilla')",rt @mrjohelpadilla: a las 5pm el centro nacional de huracanes categorizará la nueva tt con el nombre de maría (45 mph). info: best track,,mrjohelpadilla,1Fashionisima
44,UniNoticias,UnivisionSalud,Directed,47,,,1,2409,2409,2409,2017-09-16,"('UniNoticias', 'UnivisionSalud')","rt @univisionsalud: sin luz, sin aire, sin ascensor: estos ancianos explican cómo les ha afectado el paso de #irma por florida…",,UnivisionSalud,UniNoticias
45,mguindin,MrTonitas,Directed,48,,,1,2435,2435,2435,2017-09-16,"('mguindin', 'MrTonitas')","rt @mrtonitas: quienes no tienen luz, tienen menos de que preocuparse con maria. https://t.co/qwrfreikrb",,MrTonitas,mguindin
46,MariaRosaLugoS1,yen_mendez,Directed,50,,,1,2516,2516,2516,2017-09-16,"('MariaRosaLugoS1', 'yen_mendez')",rt @yen_mendez: @ayudasosvzla : se necesita para paciente oncológico placlitaxel o taxol 04126735716,,yen_mendez,MariaRosaLugoS1
47,MariaRosaLugoS1,AyudaSOSVzla,Directed,51,,,1,2517,2517,2517,2017-09-16,"('MariaRosaLugoS1', 'AyudaSOSVzla')",rt @yen_mendez: @ayudasosvzla : se necesita para paciente oncológico placlitaxel o taxol 04126735716,,AyudaSOSVzla,MariaRosaLugoS1
48,Luisyv5lfx,pluvaltamira,Directed,52,,,2,19258,2893,2893,2017-09-21,"('Luisyv5lfx', 'pluvaltamira')","rt @pluvaltamira: caracas, 21/09/2017 (22:10 hrs): 
para el momento: nubosidad sin precipitaciones.
temp. 22.5°c. 
lluvias hoy: (1.6…",,pluvaltamira,Luisyv5lfx
49,nyman_heidi,TVyNovelasMex,Directed,53,,,2,15610,2753,2747,2017-09-20,"('nyman_heidi', 'TVyNovelasMex')",rt @tvynovelasmex: se necesitan plantas de luz en gabriel mancera y eugenia para poder continuar labores de rescate en edificios colapsados…,,TVyNovelasMex,nyman_heidi
50,DolmaPr,NotiUno,Directed,55,,,4,74386,1433,1431,2017-10-11,"('DolmaPr', 'NotiUno')","rt @notiuno: “la incompetencia de esta gente (aee) nos puede llevar a 9 meses sin luz” dice ricardo santos, expresidente de la utier.",,NotiUno,DolmaPr
51,DolmaPr,ricardorossello,Directed,56,,,4,23758,1620,1620,2017-09-23,"('DolmaPr', 'ricardorossello')","rt @calendarioprcom: #boricuas canalización de ayudas a #puertorico 

gobernador @ricardorossello proveyó a julio rivera saniel los... http…",,ricardorossello,DolmaPr
52,monysalas13,chematierra,Directed,57,,,2,14289,1432,1429,2017-09-20,"('monysalas13', 'chematierra')","rt @chematierra: imágenes del terremoto m7.1 ayer #cdmx 
esforcémonos por ayudar y colaborar en las labores de rescate
vía @nbcnews 
https:…",,chematierra,monysalas13
53,JannyMir,TorresGotay,Directed,58,,,5,39310,146,146,2017-09-29,"('JannyMir', 'TorresGotay')","rt @torresgotay: la mitad de las gasolineras cerradas por destrucción o falta de luz. si el gobierno las pone a funcionar, bajan las filas.…",,TorresGotay,JannyMir
54,WandaSoler2,cucusahernandez,Directed,59,,,2,68143,768,768,2017-10-09,"('WandaSoler2', 'cucusahernandez')",rt @cucusahernandez: patético!el gobierno central haciendo el trabajo de sj buscando minimizar inundaciones. esa yulina siente desprecio po…,,cucusahernandez,WandaSoler2
55,luzellentr,AFPespanol,Directed,60,,,1,3065,390,390,2017-09-17,"('luzellentr', 'AFPespanol')","rt @afpespanol: refugiados rohinyás cruzan un camino inundado en un campo de refugiados cercano a ukhia, en bangladés…",,AFPespanol,luzellentr
56,MariaSa94096423,karlamonroig,Directed,61,,,1,3086,411,411,2017-09-17,"('MariaSa94096423', 'karlamonroig')",rt @karlamonroig: no tengo luz y no pude verlos pero soy #teamdayanara #teamektor 🇵🇷#mqb #orgulloboricua,,karlamonroig,MariaSa94096423
57,labatista75,Edurodriguezg,Directed,62,,,1,3133,458,458,2017-09-17,"('labatista75', 'Edurodriguezg')",rt @edurodriguezg: mi mamá es diabética. no consigue glimepirida de 2 o 4 mg en margarita. ruego ayuda al 04166317167. gracias de antemano!…,,Edurodriguezg,labatista75
58,aguila10x,VicenteLunaGuzm,Directed,63,,,1,3150,475,475,2017-09-17,"('aguila10x', 'VicenteLunaGuzm')","rt @vicentelunaguzm: @epn @pcsegob @conagua_clima expertos en desaparecer dinero publico y en aparecer para lucrar con la tragedia, no c…",,VicenteLunaGuzm,aguila10x
59,aguila10x,EPN,Directed,64,,,2,21166,1747,1745,2017-09-22,"('aguila10x', 'EPN')","rt @lorenzookie: @sanjuanamtz @bibimonterodr @epn epn preparando el show, así como televisa con frida... @orazioaguirre @pinara1…",,EPN,aguila10x
60,aguila10x,PcSegob,Directed,65,,,1,3152,477,477,2017-09-17,"('aguila10x', 'PcSegob')","rt @vicentelunaguzm: @epn @pcsegob @conagua_clima expertos en desaparecer dinero publico y en aparecer para lucrar con la tragedia, no c…",,PcSegob,aguila10x
61,aguila10x,conagua_clima,Directed,66,,,1,3153,478,478,2017-09-17,"('aguila10x', 'conagua_clima')","rt @vicentelunaguzm: @epn @pcsegob @conagua_clima expertos en desaparecer dinero publico y en aparecer para lucrar con la tragedia, no c…",,conagua_clima,aguila10x
62,JdsgVEF16,FuckedNation,Directed,67,,,1,3183,508,508,2017-09-17,"('JdsgVEF16', 'FuckedNation')","rt @fuckednation: cuando finalmente se entienda al chavismo como un movimiento de ocupación, insurgente, subversivo,separatista..tal vez ha…",,FuckedNation,JdsgVEF16
